Node_No,X,Y,Z,Total Deformation
34642,-0.0069,-0.0030,-0.0353,0.0361
34643,-0.0071,-0.0023,-0.0352,0.0360
34644,-0.0070,-0.0027,-0.0350,0.0358
34645,-0.0065,-0.0024,-0.0353,0.0359
34646,-0.0064,-0.0027,-0.0362,0.0368
34647,0.0075,0.0008,-0.0254,0.0265
34648,0.0072,0.0020,-0.0257,0.0268
34649,0.0074,0.0012,-0.0258,0.0269
34650,0.0073,0.0019,-0.0261,0.0272
34651,0.0068,0.0016,-0.0251,0.0260
34652,0.0069,0.0008,-0.0258,0.0267
34653,0.0067,0.0019,-0.0259,0.0268
34654,0.0075,-0.0008,-0.0356,0.0364
34655,0.0072,-0.0020,-0.0353,0.0361
34656,0.0074,-0.0012,-0.0352,0.0360
34657,0.0073,-0.0019,-0.0349,0.0357
34658,0.0070,-0.0015,-0.0357,0.0364
34659,0.0069,-0.0015,-0.0352,0.0359
34660,0.0025,-0.0071,-0.0257,0.0268
34661,0.0034,-0.0067,-0.0257,0.0268
34662,0.0029,-0.0069,-0.0260,0.0271
34663,0.0024,-0.0067,-0.0254,0.0264
34664,0.0032,-0.0062,-0.0256,0.0266
34665,0.0029,-0.0066,-0.0251,0.0261
34666,0.0025,0.0071,-0.0353,0.0361
34667,0.0034,0.0067,-0.0353,0.0361
34668,0.0029,0.0069,-0.0350,0.0358
34669,0.0022,0.0066,-0.0360,0.0366
34670,0.0032,0.0061,-0.0351,0.0358
34671,0.0025,0.0066,-0.0348,0.0355
34672,0.0033,0.0062,-0.0359,0.0366
34673,0.0075,-0.0004,-0.0257,0.0268
34674,0.0075,0.0004,-0.0258,0.0269
34675,0.0075,-0.0002,-0.0262,0.0272
34676,0.0070,0.0000,-0.0258,0.0267
34677,-0.0010,-0.0074,-0.0254,0.0265
34678,-0.0002,-0.0075,-0.0256,0.0267
34679,-0.0011,-0.0068,-0.0256,0.0266
34680,-0.0002,-0.0069,-0.0249,0.0258
34681,0.0075,0.0004,-0.0353,0.0361
